age,two_year_recid,priors_count,length_of_stay,score,c_charge_degree_M,race_Other,sex_Male
0.20512820512820515,1.0,0.0,0.01375,1,0.0,0.0,1.0
0.6538461538461539,0.0,0.0,0.00125,1,0.0,1.0,1.0
0.07692307692307696,1.0,0.10526315789473684,0.0025,1,0.0,0.0,1.0
0.33333333333333337,0.0,0.0,0.0025,1,1.0,1.0,1.0
0.29487179487179493,1.0,0.3684210526315789,0.008749999999999999,1,0.0,1.0,1.0
0.3205128205128205,0.0,0.07894736842105263,0.00125,1,0.0,1.0,1.0
0.2692307692307693,0.0,0.0,0.00375,1,1.0,1.0,0.0
0.11538461538461539,0.0,0.0,0.0025,1,0.0,1.0,1.0
0.06410256410256412,1.0,0.07894736842105263,0.00625,1,1.0,0.0,1.0
0.24358974358974358,0.0,0.0,0.00125,1,1.0,1.0,0.0
0.29487179487179493,0.0,0.0,0.00125,1,0.0,0.0,1.0
0.3717948717948718,1.0,0.02631578947368421,0.018750000000000003,1,0.0,1.0,0.0
0.16666666666666666,1.0,0.18421052631578946,0.005,1,0.0,0.0,1.0
0.24358974358974358,0.0,0.0,0.00125,1,1.0,1.0,1.0
0.08974358974358973,0.0,0.07894736842105263,0.0025,0,0.0,0.0,1.0
0.16666666666666666,1.0,0.15789473684210525,0.0025,1,0.0,1.0,1.0
0.16666666666666666,1.0,0.13157894736842105,0.0025,1,0.0,1.0,1.0
0.5897435897435898,1.0,0.3421052631578947,0.0025,1,0.0,0.0,1.0
0.038461538461538464,1.0,0.02631578947368421,0.005,0,0.0,0.0,1.0
0.11538461538461539,1.0,0.0,0.00125,1,1.0,1.0,1.0
0.038461538461538464,0.0,0.0,0.0025,1,0.0,1.0,0.0
0.07692307692307696,1.0,0.02631578947368421,0.00125,1,0.0,1.0,1.0
0.3205128205128205,0.0,0.02631578947368421,0.0025,1,1.0,1.0,1.0
0.1794871794871795,0.0,0.0,0.0025,1,1.0,1.0,1.0
0.11538461538461539,1.0,0.21052631578947367,0.022500000000000003,1,0.0,0.0,1.0
0.10256410256410256,1.0,0.13157894736842105,0.00125,1,0.0,0.0,1.0
0.19230769230769232,1.0,0.0,0.0475,0,0.0,0.0,1.0
0.15384615384615383,1.0,0.23684210526315788,0.05625,0,0.0,1.0,1.0
0.1794871794871795,1.0,0.10526315789473684,0.0025,0,0.0,0.0,1.0
0.47435897435897434,0.0,0.0,0.00375,1,0.0,1.0,1.0
0.39743589743589747,1.0,0.18421052631578946,0.005,1,0.0,1.0,1.0
0.19230769230769232,1.0,0.10526315789473684,0.015,1,1.0,1.0,0.0
0.07692307692307696,1.0,0.02631578947368421,0.0025,1,1.0,1.0,1.0
0.20512820512820515,1.0,0.5526315789473684,0.0425,0,0.0,0.0,1.0
0.14102564102564105,0.0,0.0,0.0,1,1.0,1.0,1.0
0.038461538461538464,0.0,0.05263157894736842,0.1,0,0.0,0.0,0.0
0.42307692307692313,0.0,0.05263157894736842,0.0025,1,1.0,0.0,1.0
0.14102564102564105,1.0,0.05263157894736842,0.00125,1,1.0,1.0,1.0
0.42307692307692313,0.0,0.18421052631578946,0.0025,1,0.0,0.0,0.0
0.14102564102564105,1.0,0.0,0.00125,1,0.0,0.0,1.0
0.08974358974358973,1.0,0.23684210526315788,0.008749999999999999,0,1.0,1.0,1.0
0.21794871794871792,1.0,0.3421052631578947,0.00125,0,0.0,0.0,1.0
0.39743589743589747,0.0,0.0,0.00125,1,1.0,1.0,1.0
0.14102564102564105,0.0,0.0,0.00125,1,0.0,0.0,1.0
0.14102564102564105,1.0,0.02631578947368421,0.00125,1,0.0,1.0,1.0
0.12820512820512822,0.0,0.0,0.00125,1,0.0,1.0,0.0
0.16666666666666666,0.0,0.39473684210526316,0.17,1,0.0,0.0,1.0
0.07692307692307696,1.0,0.05263157894736842,0.0025,1,0.0,0.0,1.0
0.15384615384615383,0.0,0.0,0.030000000000000002,1,1.0,1.0,1.0
0.39743589743589747,0.0,0.10526315789473684,0.00125,1,1.0,0.0,1.0
0.4487179487179488,0.0,0.21052631578947367,0.0175,1,0.0,1.0,1.0
0.21794871794871792,0.0,0.13157894736842105,0.00125,1,0.0,0.0,1.0
0.11538461538461539,1.0,0.39473684210526316,0.0025,0,0.0,0.0,1.0
0.2564102564102564,1.0,0.10526315789473684,0.0025,1,1.0,1.0,1.0
0.051282051282051294,1.0,0.02631578947368421,0.0025,1,0.0,0.0,1.0
0.14102564102564105,1.0,0.10526315789473684,0.02375,0,0.0,0.0,1.0
0.5641025641025641,0.0,0.0,0.0,1,1.0,1.0,1.0
0.11538461538461539,1.0,0.15789473684210525,0.03875,1,0.0,0.0,1.0
0.19230769230769232,0.0,0.0,0.0025,1,1.0,1.0,1.0
0.4871794871794872,0.0,0.0,0.005,1,1.0,0.0,0.0
0.34615384615384615,1.0,0.15789473684210525,0.3025,1,0.0,1.0,1.0
0.051282051282051294,0.0,0.02631578947368421,0.0025,1,0.0,1.0,1.0
0.2692307692307693,0.0,0.02631578947368421,0.00625,1,1.0,0.0,1.0
