ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
-0.278688524590164,-0.6454431960049938,-0.97911227154047,-0.5778364116094987,-0.49367088607594944,-0.6842105263157896,-1.0,0.6600000000000001,-0.9518072289156628,-0.5576923076923078,-0.8947368421052632,-0.14,-1.0,-1.0,-1.0,-0.7155172413793104,-0.7018665733470189,-0.5,-1.0,-0.8888888888888891,0.3800000000000001,0.0
-0.08196721311475419,-0.8601747815230962,-0.9216710182767625,-0.8047493403693932,-0.949367088607595,-0.5789473684210529,-0.5789473684210529,1.0,1.0,-0.8653846153846154,-1.0,0.3400000000000001,-1.0,-1.0,-1.0,-1.0,-0.7018665733470189,-1.0,-0.8578226332553054,-0.8373293726571894,-1.0,0.0
0.11475409836065587,-0.84019975031211,-0.9738903394255876,-0.8944591029023748,-0.7721518987341773,-1.0,-1.0,1.0,1.0,-0.826923076923077,-0.5789473684210529,-0.12,-1.0,-0.8787878787878788,-0.8787878787878788,-0.5431034482758622,-0.7197452229299364,-0.75,-0.9090909090909092,-0.8888888888888891,0.72,0.0
0.08196721311475419,-0.5830212234706618,-0.9947780678851176,-0.6358839050131928,-0.2911392405063292,-0.8947368421052632,-0.8947368421052632,0.8600000000000001,0.8313253012048192,-0.423076923076923,-0.6842105263157896,0.14000000000000012,-1.0,-0.8484848484848486,-0.8787878787878788,-0.3793103448275862,-0.6475583864118897,-0.625,-0.7272727272727274,-0.6666666666666667,0.8200000000000001,0.0
0.5737704918032789,-0.17353308364544318,-0.8590078328981724,-0.324538258575198,-0.6962025316455696,-1.0,-1.0,1.0,1.0,-0.7692307692307694,-1.0,-0.5,-1.0,-0.9696969696969698,-0.9696969696969698,-0.5603448275862071,-0.6220806794055203,-0.8125,-1.0,-1.0,0.6000000000000001,0.0
-0.14754098360655743,-0.6629213483146068,-0.9425587467362926,-0.6094986807387863,-0.21518987341772156,-1.0,-1.0,0.8200000000000001,-0.9759036144578314,-0.3846153846153846,-0.8947368421052632,-0.06000000000000005,-1.0,-1.0,-1.0,-0.4655172413793104,-0.605095541401274,-0.25,-0.7272727272727274,-0.6666666666666667,0.8799999999999999,0.0
-0.3114754098360656,-0.7852684144818978,-0.9634464751958226,-0.8258575197889182,-0.3670886075949368,-1.0,-1.0,0.8400000000000001,-0.783132530120482,-0.5,-0.6842105263157896,0.15999999999999992,-1.0,-0.8787878787878788,-0.8787878787878788,-0.23275862068965525,-0.6772823779193207,-0.5625,-0.4545454545454546,-0.7777777777777778,1.0,1.0
0.14754098360655754,-0.6354556803995006,-0.9634464751958226,-0.6781002638522429,-0.569620253164557,-1.0,-1.0,0.6600000000000001,-0.253012048192771,-0.653846153846154,-0.8947368421052632,-0.12,-1.0,-1.0,-1.0,-0.7586206896551726,-0.7961783439490446,-0.875,-0.9090909090909092,-0.7777777777777778,-0.19999999999999996,1.0
-0.14754098360655743,-0.19600499375780278,-0.989556135770235,-0.2928759894459104,-0.3924050632911392,-1.0,-1.0,0.7,-0.8795180722891568,-0.48076923076923084,-0.8947368421052632,-0.48,-1.0,-0.9696969696969698,-0.9696969696969698,-0.413793103448276,-0.7018665733470189,-0.5625,-1.0,-0.6666666666666667,0.8,0.0
-0.08196721311475419,-0.8077403245942572,-0.97911227154047,-0.8311345646437995,-0.518987341772152,-1.0,-1.0,0.8999999999999999,-0.8795180722891568,-0.6346153846153846,-0.6842105263157896,-0.48,-1.0,-0.8181818181818182,-0.8181818181818182,-0.7327586206896552,-0.634819532908705,-0.6875,-0.8181818181818182,-0.8888888888888891,0.24,0.0
